text,category,sentiment
"hàng nguyên seal , giá tốt . mua lớn_tuổi , vọc_vạch một lát phát_hiện chế_độ đơn_giản lớn_tuổi . tiki giao hàng . 5 ! kì hài_lòng",Price,positive
"giao hàng , nhân_viên tốt . hàng nguyên tem sản_phẩm oke kì hài_lòng",Genuineness,positive
giá tốt điện_thoại ngon ổn_định nguyên đai nguyên kiện không bảo_hành kích_hoạt kì hài_lòng,Accessories,positive
"giá hời , rẻ điện_máy xanh nguyên seal , check bảo_hành 2 tuần màu dạ_quang đẹp dịch_vụ tiki tuyệt_vời",Price,positive
"điện_thoại tốt , chất_lượng tuyệt_vời , shop gói hàng , giao .",Ship,positive
"đóng_gói , shop tư_vấn nhiệt_tình , thân máy xước , máy chạy tốt .",Performance,positive
"sản_phẩm tốt , giá_cả hợp_lý , máy chạy mượt_mà , cảm_ứng nhạy , màn_hình , ứng_dụng hoạt_động tốt , camera sắt nét , pin trâu , hài_lòng , shop tin_tưởng , sản_phẩm shop an_tâm lắm , shop chúc shop thành_công",Performance,positive
"điện_thoại tốt , bắt sóng không mạnh",Other,positive
"* 6 bắt_thăm trúng thưởng kindle fire 2 3 ji pin trâu_bò , mỗi_tội_lỗi_thời không play video . hôm_qua mua quê đá bóng , hôm_nay , good ! * hai tiếng mày_mò cài google play_store ( hướng_dẫn : ; trang_web tải file , thử cài version không cài version ) . * thử nhật xét như : trừ máy đúng gen 8 trừ chạy mượt_mà video lướt web trừ màn_hình nét ful hd , màu_sắc video hình_ảnh hơi nhạt_trừ chưa không ntn mới_đầu pin ổn trừ chụp hình * giá mua không_thể đòi hòi , duyệt ! *",Other,positive
"xài 2 , máy tốt lắm shop , pin trâu_bò , chức_năng đều ổn , màn_hình cảm_ứng nhạy , camera chụp hình sắt nét lắm , mạng mạnh_mẽ , lướt web mượt_mà , hài_lòng , shop uy_tín lắm , giao hàng đúng như quảng_cáo , an_tâm sản_phẩm cua shop ,",Configuration,positive
"máy_nguyên niêm_phong mướt , pin ổn , 5 *",Genuineness,positive
"hàng không đúng mô_tả chi_tiết ẩn phẩm , mô_tả sản_phẩm ghi sim sản_phẩm máy không gán sim . đổi shop không đổi nhân_viên kỹ_thuật lòng_vòng không đổi , không shop giải_quyết đổi không . không hài_lòng",Service,negative
"chuẩn , hàng đẹp lắm shop , máy cầm đầm chảnh , chức_năng hoạt_động tốt , ứng_dụng chạy êm_ái , màn_hình màu_sắc_đẹp , cảm_ứng lướt nhẹ_nhàng , chụp hình sắc nét , hài_lòng lắm , shop uy_tín , giao hàng chất_lượng tốt , shop , anh_em an_tâm ủng_hộ shop ,",Model,positive
sản_phẩm mong_đợi . kì hài_lòng,Other,positive
không tai_nghe giá_thành ổn mua 3 mẫu ổn mua giao hàng cực,Price,positive
hàng_oke,Other,positive
"đẹp , giao hàng đóng_gói chuẩn . kì hài_lòng",Model,positive
"tốt tầm giá , dịch_vụ kinh_doanh , giao hàng",Price,positive
máy đẹp lắm . giao now . không chê . bao da nhắn_tin shop . mẫu xinh lắm,Model,positive
"giao hàng 1 tuần . giá rẻ , chất_lượng sản_phẩm tốt .",Ship,negative
sản_phẩm oke hình_ảnh tính_chất họa,Other,positive
