review,category,sentiment
Vừa qua tôi có dùng dịch vụ tại Khách Sạn TTC Hotel Premium Ngọc Lan Ngọc Lan Đà Lạt.,HOTEL#GENERAL,positive
Vừa qua tôi có dùng dịch vụ tại Khách Sạn TTC Hotel Premium Ngọc Lan Ngọc Lan Đà Lạt.,SERVICE#GENERAL,positive
Tuy nhiên buffet sáng ở đây không được ngon và chưa đa dạng lắm.,FOOD&DRINKS#QUALITY,negative
Tuy nhiên buffet sáng ở đây không được ngon và chưa đa dạng lắm.,FOOD&DRINKS#STYLE&OPTIONS,negative
"Nhìn chung dịch vụ khách sạn cũng tốt, chỉ có đồ ăn sáng chưa ngon, chưa hợp khẩu vị với tôi.",FOOD&DRINKS#QUALITY,negative
"Nhìn chung dịch vụ khách sạn cũng tốt, chỉ có đồ ăn sáng chưa ngon, chưa hợp khẩu vị với tôi.",SERVICE#GENERAL,positive
"Đội ngũ nhân viên phục vụ chu đáo, tận tình.",SERVICE#GENERAL,positive
"Trang thiết bị nội thất hài hoà, tiện nghi hiện đại, phù hợp với tiêu chuẩn khách sạn.",ROOM_AMENITIES#DESIGN&FEATURES,positive
"Trang thiết bị nội thất hài hoà, tiện nghi hiện đại, phù hợp với tiêu chuẩn khách sạn.",ROOM_AMENITIES#QUALITY,positive
"Trang thiết bị nội thất hài hoà, tiện nghi hiện đại, phù hợp với tiêu chuẩn khách sạn.",HOTEL#QUALITY,positive
Ngay chợ Đà Lạt.,LOCATION#GENERAL,positive
"Bởi vì ở khách sạn này có khung cảnh đẹp cùng với dịch vụ phòng ở đạt chất lượng, đáp ứng yêu cầu mong đợi của tôi.",HOTEL#GENERAL,positive
"Bởi vì ở khách sạn này có khung cảnh đẹp cùng với dịch vụ phòng ở đạt chất lượng, đáp ứng yêu cầu mong đợi của tôi.",SERVICE#GENERAL,positive
"Khách sạn có vị trí dễ dàng tìm kiếm, gần chợ Đà Lạt chỉ cần băng qua đường xuống cây cầu băng tắt qua mất 5 phút.",LOCATION#GENERAL,positive
Nhân viên phục vụ chuyên nghiệp nữa.,SERVICE#GENERAL,positive
Cảm thấy dịch vụ rất ổn và không có điều gì để phàn nàn cả.,SERVICE#GENERAL,positive
"Nội thất còn mới và sạch sẽ, đồ ăn sáng đa dạng và ngon.",HOTEL#CLEANLINESS,positive
"Nội thất còn mới và sạch sẽ, đồ ăn sáng đa dạng và ngon.",FOOD&DRINKS#QUALITY,positive
"Nội thất còn mới và sạch sẽ, đồ ăn sáng đa dạng và ngon.",FOOD&DRINKS#STYLE&OPTIONS,positive
"Nội thất còn mới và sạch sẽ, đồ ăn sáng đa dạng và ngon.",ROOM_AMENITIES#QUALITY,positive
"Vị trí khách sạn rất đẹp, ngay ở trung tâm Đà Lạt, đi lại các điểm tham quan thuận tiện.",LOCATION#GENERAL,positive
"Vị trí khách sạn rất đẹp, ngay ở trung tâm Đà Lạt, đi lại các điểm tham quan thuận tiện.",HOTEL#COMFORT,positive
"Buffet sáng nhiều món, nhưng hợp với khách Tây hơn là khẩu vị người Việt.",FOOD&DRINKS#QUALITY,negative
"Buffet sáng nhiều món, nhưng hợp với khách Tây hơn là khẩu vị người Việt.",FOOD&DRINKS#STYLE&OPTIONS,positive
"Diện tích phòng ốc khá rộng và sạch, thích hợp với nhu cầu nghỉ ngơi của tôi.",ROOMS#DESIGN&FEATURES,positive
"Diện tích phòng ốc khá rộng và sạch, thích hợp với nhu cầu nghỉ ngơi của tôi.",ROOMS#CLEANLINESS,positive
Thiết kế trần thấp và diện tích hơi bé nên phòng không hợp ý tôi một chút.,ROOMS#DESIGN&FEATURES,negative
Thiết kế trần thấp và diện tích hơi bé nên phòng không hợp ý tôi một chút.,ROOMS#COMFORT,negative
"Vị thế khách sạn tốt, thích hợp với nhu cầu đi lại tham quan.",LOCATION#GENERAL,positive
"Phòng sạch sẽ, thoáng nhìn tổng quan tại khách sạn này cũng thấy được.",HOTEL#GENERAL,positive
"Phòng sạch sẽ, thoáng nhìn tổng quan tại khách sạn này cũng thấy được.",ROOMS#CLEANLINESS,positive
"Phòng sạch sẽ, thoáng nhìn tổng quan tại khách sạn này cũng thấy được.",ROOMS#COMFORT,positive
"Khách sạn ngay trung tâm, gần với những địa ăn uống và các địa danh du lịch.",LOCATION#GENERAL,positive
"Thái độ phục vụ ân cần, nhiệt tình.",SERVICE#GENERAL,positive
"Nói chung, khách sạn rất tốt nên tôi thường lựa chọn khách sạn này để làm điểm nghỉ ngơi.",HOTEL#GENERAL,positive
"Chất lượng dịch vụ tại khách sạn tôi hoàn toàn hài lòng, chất lượng dịch vụ xứng đáng với giá tiền tôi đã bỏ ra.",HOTEL#PRICES,positive
"Chất lượng dịch vụ tại khách sạn tôi hoàn toàn hài lòng, chất lượng dịch vụ xứng đáng với giá tiền tôi đã bỏ ra.",HOTEL#QUALITY,positive
"Chất lượng dịch vụ tại khách sạn tôi hoàn toàn hài lòng, chất lượng dịch vụ xứng đáng với giá tiền tôi đã bỏ ra.",SERVICE#GENERAL,positive
"Nhân viên thân thiện và nhiệt tình giúp hộ tôi mang hành lý vào trong, thủ tục nhận phòng rất nhanh.",SERVICE#GENERAL,positive
"Phòng sạch sẽ và có của sổ khá thoáng mát, nhìn chung tôi rất hài lòng.",ROOMS#CLEANLINESS,positive
"Phòng sạch sẽ và có của sổ khá thoáng mát, nhìn chung tôi rất hài lòng.",ROOMS#COMFORT,positive
"Khách Sạn TTC Hotel Premium Ngọc Lan Ngọc Lan Đà Lạt ngày trước tôi có thường đặt phòng ở đây, theo tôi thấy thì nhân viên của khách sạn phục vụ tốt, phòng ở rộng và thoáng.",HOTEL#GENERAL,positive
"Khách Sạn TTC Hotel Premium Ngọc Lan Ngọc Lan Đà Lạt ngày trước tôi có thường đặt phòng ở đây, theo tôi thấy thì nhân viên của khách sạn phục vụ tốt, phòng ở rộng và thoáng.",SERVICE#GENERAL,positive
"Khách Sạn TTC Hotel Premium Ngọc Lan Ngọc Lan Đà Lạt ngày trước tôi có thường đặt phòng ở đây, theo tôi thấy thì nhân viên của khách sạn phục vụ tốt, phòng ở rộng và thoáng.",ROOMS#COMFORT,positive
