text,category,sentiment
"giao hàng , bỉm mỏng , giá tiền . 🤗",Price,positive
"hàng giao , chất_lượng tốt , đóng_gói sản_phẩm cẩn_thận . shop chăm_sóc nhiệt_tình . hài_lòng .",Service,positive
"bỉm nhẹ , mỏng , thấm hút tốt . chất_lượng hẳn bỉm có_giá cung loại như paper , hunger , booby . khuyến_mại săn yêu ! : ) mong đợt khuyến_mại mùa đông bé bỉm suốt . hài_lòng sản_phẩm tốt giá_cả ! tốt",Quality,positive
"đóng_gói đầy_đủ , tư_vấn bực shiper tự_động delay giao hàng , thùng hàng rách be_bét , may không hỏng sữa rơi mất đồ . giao hàng dạo chán 😤",Ship,negative
giao hàng hạn ngắn không hài_lòng mấy,Ship,positive
hàng hạn lắm . hàng tốt,Safety,positive
"shop cố_tình gửi bình móp , nắp bung , miếng bạc phồng , không hài_lòng tí , hình_như mua nhìu shop thờ_ơ như",Service,negative
"sản_phẩm như hình hạn , ủng_hộ shop tiếp",Quality,positive
sp giá tốt chất_lượng ổn mềm hút mỏng nhẹ bé tốt,Quality,positive
shop gói hàng cẩn_thận lắm nha . giao hạn 202 . giá mềm thanks shop,Price,positive
giao hàng . oke kì hài_lòng,Quality,positive
"sản_phẩm thấm hút cực kém , rộng kích_thước loại mua huggi . không dám mua bỉm tiki không hài_lòng",Quality,negative
"chất_lượng oke , giao hàng , giá_cả cạnh_tranh , , ủng_hộ tiki , giao",Ship,positive
"bobby 2 nhóc , mua tiki . đóng_gói cẩn_thận ship tiki , hơi thất_vọng . ngạc_nhiên dán băng_keo đường túi , 1 đoạn bỉm . không túi phân_phối tiki không hài_lòng , bỉm đóng_gói đảm_bảo_vệ_sinh ! mong tiki thông_tin phản_hồi giúp !",Ship,negative
giao hàng,Ship,negative
"mua lắm , chất_lượng không bàn , giao hàng dịp siêu sale shopee .",Quality,positive
"chưa đóng_gói đẹp , giao hàng hài_lòng kì hài_lòng",Ship,positive
"giao hàng , đóng_gói cẩn_thận , sản_phẩm đúng mô_tả , giá tốt",Price,positive
bỉm shop gửi bỉm đổi bỉm rẻ tiết_kiệm,Quality,positive
"sản_phẩm ổn , mềm . giá tiền kì hài_lòng",Quality,positive
"không phàn_nàn dịch_vụ tiki cảm_nhận sản_phẩm bobby chất_lượng kém mẫu cũ . thấm hút dồn bé tè , khả_năng thấm vẻ hài_lòng",Service,positive
"shop gửi hàng , đóng_gói vận_chuyển hơi móp một xíu , chưa uống chưa chất_lượng sữa tn",Ship,positive
sản_phẩm hôm_nay hàng gãy gắn không hài_lòng,Quality,negative
"tiki giao hàng , đóng_gói cẩn_thận . hài_lòng . kì hài_lòng",Ship,positive
"đặt_hàng hôm giao tỉnh hôm hàng , . hàng_mã ưng kì hài_lòng",Ship,positive
"đóng_gói . tem mác đầy_đủ , hướng_dẫn tiếng việt . giao hàng nhanh_chóng",Genuineness,positive
tốt . toàn tã bé tiki . giá tốt giao hàng . combo 3,Price,positive
"chiều , 👍",Ship,positive
"mua shop , ưng_ý khâu đóng_gói . sp chất_lượng . shop",Quality,positive
giao hàng . bỉm như quảng_cáo . mua rẻ siêu_thị kì hài_lòng,Ship,positive
"chất_lượng tốt , giao hàng nhanh_trừ đủ , shop nhiệt_tình , dễ_thương ❤ ️ ❤ ️ ❤ ️",Quality,positive
đóng_gói cẩn_thận . 5 chất_lượng,Quality,positive
"giá tương_đối rẻ nhãn hàng nhập_khẩu , tốt . ủng_hộ hàng việt_👍 kì hài_lòng",Price,positive
"chất_lượng tốt , bé mặc êm , thoải_mái , mỏng , nhẹ . tiki giao hàng , đóng_gói đẹp . ủng_hộ tiếp tốt",Ship,positive
hàng chuẩn_trừ date . bé hấp_thụ sữa tốt chút cân . ủng_hộ shop lâu_dài,Safety,positive
"giao hàng , sản_phẩm ổn kì hài_lòng",Ship,positive
"không nắp xanh , giao",Ship,positive
"ngon , bổ rẻ kì hài_lòng",Price,positive
"bịch tả rách 1 chỗ , hy_vọng không nhiễm_khuẩn , không rách như , hy_vọng không rách như .",Service,negative
tiki đóng_gói giao hàng . giao đúng size . kì hài_lòng,Service,positive
sản_phẩm tốt giá rẻ kì hài_lòng,Quality,positive
"giao hàng 2 , đóng_gói sơ_sài , chưa kỹ , rách 1 chỗ vỏ bọc . kì hài_lòng",Ship,negative
"đóng_gói cẩn_thận , sản_phẩm như hình , tuyệt_vời ad",Ship,positive
lon sữa không móp méo sữa hạn t4 / 2021 shop dạo giao hàng vận_chuyển chậm,Safety,positive
ship như 1 gió . giao đúng mẫu đúng màu . làm_ăn chuyên_nghiệp 😃,Genuineness,positive
tả okk . giá tốt kì hài_lòng,Price,positive
đóng_gói cẩn_thận . shipper nhiệt_tình . mua shop . oke,Quality,positive
"rẻ như , rẻ không dám đòi_hỏi , giao đúng hàng 5 kì hài_lòng",Price,positive
sữa hãng chuẩn ngon . bé . giao hàng đủ .,Genuineness,positive
đóng_gói giao hàng,Ship,positive
"hàng chuẩn , tiki giao đóng_gói kỹ_càng . quà tặng kèm vali nhựa , bé đi picnic đi học ! kì hài_lòng",Ship,positive
"sữa hãng , hạn , quà tặng , tốt ! kì hài_lòng",Safety,positive
bỉm angel mềm_mỏng . mua rùi . shop giá tốt hàng,Price,positive
quảng_cáo tặng trà sữa marca cà_phê dừa khách_hàng phản_hồi tiki không lừa_đảo shop ? không hài_lòng,Service,negative
"giao , gói kĩ , hạn , áp mã shoppe mua giá rẻ .",Safety,positive
